{-72.98200123780715, 0.9881280848256752}	{-72.98200123780704, -0.988128084825669}
{-72.98144052334754, -0.9881001843467302}	{-72.9814405233475, 0.988100184346729}
{-72.9822853068938, -0.9881404706476011}	{-72.982285306893, 0.9881404706475636}
{-72.98108842467657, 0.9880856925156875}	{-72.98108842467643, -0.9880856925156807}
{-72.98056005718846, 0.988062454863371}	{-72.98056005718831, -0.988062454863364}
{-72.98251736799602, -0.9881452739876626}	{-72.98251736799573, 0.9881452739876503}
{-72.98150899954247, -0.9881041797374861}	{-72.98150899954204, 0.9881041797374692}	{-72.9815089995416, 0.9881041797374518}	{-72.98150899954143, -0.9881041797374452}
{-72.9806354119045, -0.9880698554486068}	{-72.9806354119044, 0.988069855448602}
{-72.98048356353115, 0.9880640977215955}	{-72.98048356353101, -0.9880640977215901}
{-72.98092600477888, -0.9880803019165756}	{-72.98092600477875, 0.9880803019165717}
{-72.98106592602997, 0.9880852557922947}	{-72.9810659260298, -0.9880852557922882}
{-72.97918309727437, 0.98802076555526}	{-72.97918309727365, -0.9880207655552357}
{-72.98138954433001, 0.9880939324098064}	{-72.98138954432989, -0.9880939324098018}
{-72.97932875309496, -0.9880277283481025}	{-72.9793287530941, 0.988027728348075}
{-72.98171335419893, -0.9881019911612985}	{-72.98171335419829, 0.9881019911612785}
{-72.98186869240436, 0.9881066836035375}	{-72.98186869240365, -0.9881066836035158}
{-72.97849950025173, 0.9880079095849392}	{-72.97849950025113, -0.9880079095849221}
{-72.98077665575725, -0.9880727335789217}	{-72.98077665575725, 0.9880727335789218}
{-72.9802032827852, -0.9880568765231524}	{-72.9802032827851, 0.9880568765231506}
{-72.97843726961246, 0.9880094073033909}	{-72.97843726961236, -0.9880094073033885}
{-72.9813550932659, 0.9880856683654117}	{-72.98135509326582, -0.9880856683654097}
{-72.97843761839589, -0.988011495102173}	{-72.9784376183955, 0.9880114951021638}
{-72.97956607650423, -0.9880394129056838}	{-72.97956607650352, 0.9880394129056668}
{-72.97754481883561, -0.9879907356272717}	{-72.97754481883513, 0.98799073562726}
{-72.97828880757123, 0.9880081826203037}	{-72.97828880757086, -0.9880081826202952}
{-72.97854252100748, 0.9880139780298985}	{-72.97854252100699, -0.9880139780298871}
{-72.97957143884953, 0.9880368777855879}	{-72.97957143884946, -0.9880368777855861}
{-72.97740198143477, -0.9879898214802627}	{-72.97740198143315, 0.9879898214802274}
{-72.97837893768875, 0.9880104782734564}	{-72.97837893768867, -0.9880104782734553}
{-72.97828860332449, 0.9880086159158009}	{-72.97828860332444, -0.9880086159158002}
{-72.97809934212928, -0.9880048107049858}	{-72.97809934212907, 0.9880048107049813}
{-72.9788249922145, -0.9880190416412343}	{-72.97882499221363, 0.988019041641217}
{-72.97532823144992, -0.9879521420115025}	{-72.97532823144982, 0.9879521420115005}
