{-86.5454194050058, -2.1111738512352636}	{-86.54541940500575, 2.111173851235259}
{-86.54411836564802, -2.1111021430869243}	{-86.54411836564779, 2.111102143086912}
{-86.54451046099184, 2.1111229134424545}	{-86.54451046099115, -2.111122913442419}
{-86.54537807515514, 2.1111671360752826}	{-86.54537807515506, -2.111167136075278}
{-86.54352681480233, -2.111076246991664}	{-86.5435268148023, 2.1110762469916633}
{-86.54500889111914, -2.1111464029795872}	{-86.54500889111874, 2.1111464029795677}
{-86.54292580044952, -2.1110512450108123}	{-86.54292580044934, 2.1110512450108057}
{-86.54444934144408, 2.111118465123234}	{-86.54444934144361, -2.111118465123214}
{-86.54360546899737, 2.111082476217968}	{-86.54360546899629, -2.111082476217922}
{-86.54422235058843, 2.1111079243399344}	{-86.54422235058838, -2.111107924339932}
{-86.54182146920239, -2.111012055201154}	{-86.54182146920166, 2.111012055201125}
{-86.54476912646497, 2.111126057234189}	{-86.54476912646392, -2.111126057234149}
{-86.54137232725603, 2.1109987406703064}	{-86.54137232725589, -2.1109987406703006}
{-86.54381233541318, 2.1110874195842024}	{-86.54381233541253, -2.111087419584179}
{-86.54168455080766, -2.1110123974940254}	{-86.54168455080696, 2.1110123974940005}
{-86.54197385563971, -2.111022297812189}	{-86.54197385563909, 2.111022297812168}
{-86.54137370094344, -2.111002355466609}	{-86.54137370094335, 2.111002355466606}
{-86.54190477199602, -2.1110194972965046}	{-86.54190477199496, 2.1110194972964713}
{-86.54050617607733, -2.1109756295933253}	{-86.54050617607663, 2.110975629593303}
{-86.54135943523703, -2.1110016447485345}	{-86.54135943523568, 2.1110016447484927}
{-86.54090828469997, 2.1109882697901874}	{-86.54090828469934, -2.1109882697901687}
{-86.53702763134723, -2.1108763742822334}	{-86.53702763134707, 2.110876374282229}
{-86.54103274371651, 2.1109887242884513}	{-86.54103274371641, -2.1109887242884486}
{-86.53777784235173, -2.1108998773602745}	{-86.53777784235066, 2.110899877360246}
{-86.54106495486106, -2.1109872041205255}	{-86.54106495486056, 2.110987204120512}
{-86.53660914794652, 2.1108719765731685}	{-86.53660914794642, -2.1108719765731667}
{-86.53780049269903, 2.110901969615741}	{-86.53780049269713, -2.1109019696156937}
{-86.5367715551666, -2.110876747579924}	{-86.53677155516614, 2.1108767475799124}
{-86.53798550190443, -2.1109057234156756}	{-86.5379855019035, 2.1109057234156534}
{-86.53629580563097, -2.1108664485959805}	{-86.53629580563067, 2.110866448595974}
{-86.53544670608217, 2.1108472290741576}	{-86.53544670608206, -2.110847229074155}
{-86.5393222652551, 2.1109326591982445}	{-86.53932226525468, -2.1109326591982347}
{-86.53040177363111, 2.110741176719424}	{-86.53040177363046, -2.1107411767194098}
{-86.53844714219476, 2.110909342161914}	{-86.53844714219343, -2.1109093421618863}
