



































{-612.501493031263, 24.413180765081627}	{-612.5014930250259, -24.41318076484001}

{-611.8241135749166, 24.387111980204093}	{-611.8241135742016, -24.387111980178467}
{-611.6004895517459, -24.378558463671453}	{-611.6004895456753, 24.3785584634394}
{-611.2641931162447, 24.365754147882964}	{-611.2641931103952, -24.365754147660837}
{-611.5287148252394, 24.375771727454584}	{-611.5287148215888, -24.375771727312934}
{-611.0000163415859, 24.35587811037522}	{-611.0000163361168, -24.355878110171336}
{-611.0725652448199, -24.35858648178661}	{-611.0725652395045, 24.358586481590258}
{-610.8721456299777, 24.351178139783638}	{-610.8721456245808, -24.351178139584555}
{-610.6109294824008, 24.341646269710022}	{-610.6109294810733, -24.341646269662974}
{-610.6769832900329, -24.34401477068576}	{-610.6769832889164, 24.344014770643213}
{-610.4837626162525, 24.337259384344208}	{-610.483762614884, -24.337259384297095}
{-610.5243507364787, 24.338622829758524}	{-610.5243507363726, -24.338622829748516}
{-610.4092704870878, -24.335029674544025}	{-610.4092704840715, 24.335029674448617}
{-610.3524192552204, 24.333546541533277}	{-610.3524192547092, -24.333546541518647}
{-610.3499720737964, 24.333530690415156}	{-610.3499720730297, -24.333530690376435}
{-610.3486900772065, -24.333375924234463}	{-610.3486900762621, 24.33337592415575}















































