











































{-866.1766099580171, -34.83885524179363}	{-866.176609948901, 34.83885524144886}
{-865.9112243137041, 34.828682892507615}	{-865.9112243115853, -34.828682892438046}
{-865.937810777302, 34.82969124582999}	{-865.937810762816, -34.829691245282866}
{-865.9274971245663, -34.82930627675667}	{-865.9274971119873, 34.82930627628046}
{-865.3536842128279, 34.80846345182909}	{-865.3536842093117, -34.80846345173523}
{-865.4358480219048, -34.811282676846055}	{-865.4358480192973, 34.8112826767798}
{-865.4079343948105, 34.8104952986966}	{-865.4079343893973, -34.81049529848019}

{-865.4026036091659, -34.8120733774885}	{-865.4026035936372, 34.812073376749325}
{-865.6579741303634, 34.82383035976121}	{-865.6579741080681, -34.82383035881363}














































