























{-546.327455226897, -21.77543130238561}	{-546.3274552266575, 21.77543130237648}


{-545.6917312164962, -21.750449998043287}	{-545.6917312139648, 21.75044999794348}
{-545.4652255926004, 21.741585101851346}	{-545.4652255877394, -21.74158510166065}


{-544.8157905869126, -21.716279789880186}	{-544.8157905847842, 21.716279789798154}
{-544.6884895619526, 21.711339925993624}	{-544.6884895593249, -21.711339925892432}
{-544.963491390292, -21.721983916413897}	{-544.9634913791308, 21.721983915982115}
{-544.3495886066771, -21.698289515513174}	{-544.3495886020036, 21.698289515332192}
{-544.1124915221619, -21.689166928535048}	{-544.1124915205465, 21.689166928472602}
{-544.1924493324584, 21.692232858379384}	{-544.1924493289079, -21.692232858241635}
{-544.1208101582844, -21.689496398665735}	{-544.1208101564578, 21.689496398596635}
{-543.8237668499268, -21.678199147717223}	{-543.8237668479115, 21.678199147641383}
{-543.5719000365848, -21.668667560868087}	{-543.5719000330434, 21.668667560733468}
{-543.5849434019539, -21.669158348581846}	{-543.5849434015114, 21.66915834856498}
{-543.4255492989055, -21.663200977750495}	{-543.4255492967563, 21.663200977669792}
{-543.2881664456785, 21.658107488295776}	{-543.2881664444311, -21.65810748824969}
{-543.3202779740076, 21.659286385940213}	{-543.3202779723854, -21.659286385877895}
{-542.9389466332157, -21.64545868520915}	{-542.9389466322781, 21.645458685171537}
{-543.1449314919024, 21.652809372768957}	{-543.1449314906671, -21.652809372724818}
{-542.8516257495261, 21.64256712877877}	{-542.8516257490128, -21.64256712875694}
{-542.8583568869675, 21.642794940656007}	{-542.8583568866999, -21.64279494064531}
{-542.8940393820083, -21.643944836343763}	{-542.894039381556, 21.643944836324785}
{-542.7290444865345, -21.639081079490445}	{-542.7290444862581, 21.639081079485525}
{-542.7452315974598, 21.639465917300456}	{-542.7452315971149, -21.639465917296366}
{-542.7453986501736, -21.639466705939395}	{-542.7453986490673, 21.63946670589071}
{-542.7490380854975, 21.640330955856278}	{-542.7490380855556, -21.640330955836824}
{-542.7535965160869, 21.64063108308085}	{-542.7535965158929, -21.640631083079207}














































